Name,brand_name
Pぱちんこウルトラ6兄弟 K3,ウルトラ6兄弟
PAぱちんこウルトラ6兄弟 A5,ウルトラ6兄弟
PAぱちんこウルトラセブン2 A6【設定④】,ウルトラセブン
PAぱちんこウルトラセブン2 A6【設定⑤】,ウルトラセブン
PAぱちんこウルトラセブン2 A6【設定⑥】,ウルトラセブン
パチスロ「ウルトラセブン」,ウルトラセブン
Pぱちんこウルトラセブン超乱舞 K4,ウルトラセブン
PAぱちんこウルトラセブン2 A6【設定③】,ウルトラセブン
PAぱちんこウルトラセブン2 A6,ウルトラセブン
PAぱちんこウルトラセブン2 A6【設定②】,ウルトラセブン
パチスロウルトラセブン KC,ウルトラセブン
Pぱちんこウルトラマンタロウ2超決戦LIGHTver KA3,ウルトラマン
Pぱちんこウルトラマンティガ KACJ1,ウルトラマン
Pぱちんこウルトラマンティガ K17,ウルトラマン
パチスロウルトラマン M,ウルトラマン
Lパチスロウルトラマンティガ KA,ウルトラマン
パチスロウルトラマン T（パチスロバルタン星人）,ウルトラマン
Pぱちんこウルトラマンタロウ2 K6,ウルトラマン
Sパチスロウルトラマンタロウ MG,ウルトラマン
ウルトラマンウォーズH,ウルトラマン
エイリヤンエボリューション /XR,エイリヤンエボリューション
パチスロ エイリヤンビギンズ,エイリヤンビギンズ
Pエウレカセブンハイエボ2 SFPA,エウレカセブン
Sエウレカセブン3 HIEVO ZR,エウレカセブン
Lエウレカセブン4 HIEVO KX,エウレカセブン
エウレカセブン2 ZZ,エウレカセブン
SエウレカセブンHIEVO XS,エウレカセブン
PエウレカセブンハイエボゼロSEJD,エウレカセブン
PAデジハネエウレカセブンハイエボゼロ SSJD,エウレカセブン
Pデジハネエウレカセブンハイエボ2 SSPB,エウレカセブン
エウレカセブンAO /XS,エウレカセブン
Pデジハネエウレカセブンハイエボ2 SSPB 【LT】,エウレカセブン
エルインカ黄金文明 /KK,エルインカ黄金文明
エージェント･クライシス,エージェント･クライシス
スーパーオアシス/DX,オアシス
クイーンオアシス DX,オアシス
オアシスデイズ /DX,オアシス
サンサンオアシスキュイーンVer.,オアシス
オアシス A,オアシス
オキフェスDX-30,オキフェス
モットオキフェス /DX-30,オキフェス
Sオキワニマル BA,オキワニマル
Sオキワニマル AA‐30,オキワニマル
オスバンチョウ2Q,オスバンチョウ
Sオニハマ4 VSH3,オニハマ
Sオニハマ4 H2,オニハマ
オニハマバクソウグレンタイ3 S,オニハマ
オニハマアイ /L7,オニハマ
Sオリスロ2 AA,オリスロ
オリスロ AA,オリスロ
Sオリスロ3 AA,オリスロ
Sパチスロオーバーロード YX,オーバーロード
P弾球黙示録カイジ5 N3A,カイジ
P弾球黙示録カイジ沼5 V3B,カイジ
P弾球黙示録カイジ５ N2A,カイジ
P弾球黙示録カイジ4 R3A【設定B】,カイジ
P弾球黙示録カイジ4 R3A,カイジ
P弾球黙示録カイジ4 R3A【設定A】,カイジ
P弾球黙示録カイジ5 V1B,カイジ
Pカイジ鉄骨渡り勝負編 V1B,カイジ
カイジ4 /ZS,カイジ
カイジ3 S,カイジ
P弾球黙示録カイジ5 V1A,カイジ
パチスロカウボーイビバップ C1,カウボーイビバップ
Pカナカナ2with桃乃木かな,カナカナ
カメレオン R,カメレオン
カンフーレディドラゴン /GG,カンフーレディ
カンフーレディEVO/XX,カンフーレディ
PAデジハネガオガオキング3 SWQA,ガオガオキング
Pガオガオキング3 EWA,ガオガオキング
P保4のガチャバスター U,ガチャバスター
P真速のガッチャマン XINN,ガッチャマン
科学忍者隊ガッチャマン GR,ガッチャマン
ガメラ ZS,ガメラ
Sガメラ2 XR,ガメラ
Sパチスロガメラ KH,ガメラ
Pガラスの仮面 M-K1,ガラスの仮面
PAガラスの仮面 N-K1,ガラスの仮面
Pガラスの仮面 ML-K1,ガラスの仮面
パチスロガレイゼロC,ガレイゼロ
ガロウデンセツプレミアムBB,ガロウデンセツ
ガンソードDT,ガンソード
Lガールズ&パンツァ―最終章 H1,ガールズ&パンツァ―最終章
パチスロガールズ＆パンツァーC3,ガールズ＆パンツァー
Sガールズ＆パンツァー劇場版 H4,ガールズ＆パンツァー
Pガールズ＆パンツァ―2 8YQ1Y,ガールズ＆パンツァー
Sガールズ＆パンツァーG /LA1,ガールズ＆パンツァー
Pガールズ＆パンツァー2 L9YU3Y,ガールズ＆パンツァー
パチスロガールフレンド（仮） /G4,ガールフレンド（仮）
PAガールフレンド（仮） N-K YT299,ガールフレンド（仮）
Pガールフレンド（仮）M2-K YT500,ガールフレンド（仮）
キャッツアイ～恋ふたたび～Ａ,キャッツアイ
Pキャッツアイ2 L2BZ1SA【設定⑥】,キャッツアイ
Sキャッツアイ H6,キャッツアイ
キャッツアイーコレクション奪還作戦A2,キャッツアイ
eキャッツアイ3 H4YZ3,キャッツアイ
Pキャッツアイ2 L2BZ1SA【設定④】,キャッツアイ
Pキャッツアイ2 L2BZ1SA,キャッツアイ
キャプテンハーロック,キャプテンハーロック
Pキャプテン翼若林99Ver REY2,キャプテン翼
Pキャプテン翼2020 NL,キャプテン翼
Pキャプテン翼 石崎バージョン SAY2,キャプテン翼
Pキャプテン翼若林Ver RVY3,キャプテン翼
PAキャプテン翼雷獣バージョン RAY【設定④】,キャプテン翼
PAキャプテン翼雷獣バージョン RAY,キャプテン翼
PAキャプテン翼雷獣バージョン RAY【設定③】,キャプテン翼
PAキャプテン翼雷獣バージョン RAY【設定⑤】,キャプテン翼
PAキャプテン翼雷獣バージョン RAY【設定②】,キャプテン翼
PAキャプテン翼雷獣バージョン RAY【設定⑥】,キャプテン翼
キュロゴス2 E,キュロゴス
キューピーCX,キューピー
eキョンシー M5-VC,キョンシー
Pキレパンダ N1E,キレパンダ
Pキレパンダ S2A,キレパンダ
Sキングオブジャック J1,キングオブジャック
Sキングクリエーター SK-30,キングクリエーター
キングジャックGK,キングジャック
パチスロキンニクマン3 /CC,キンニクマン
